Hajj Company (Arabic),Hajj Company (English),formattedAddress,City,Country,email,Contact_Info,Rating Reviews,is_autorized,Google_Maps_Link,Link_Valid
«·Âœ«ÌÂ  —«›Ì·,"Al, Hidayah travel",189 Al Ittihad Rd - Hor Al Anz East - Dubai - United Arab Emirates,Dubai,United Arab Emirates,,+971 4 259 9717,,Yes,https://www.google.com/maps/search/?api=1&query=Al%2C%20Hidayah%20travel%2C%20189%20Al%20Ittihad%20Rd%20-%20Hor%20Al%20Anz%20East%20-%20Dubai%20-%20United%20Arab%20Emirates,TRUE
«‰›‰Ì Ï  —«›Ì·,Infinity Travel,"Bahialaan 100, 20 81, 3065 WC Rotterdam, Netherlands",Rotterdam,Netherlands,,+31 6 24615838,4.9 (42 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Infinity%20Travel%2C%20Bahialaan%20100%2C%2020%2081%2C%203065%20WC%20Rotterdam%2C%20Netherlands,TRUE
Ê‰ Ê«Ì ··”Ì«Õ…,One Way Tourism,"29VV+53X, Ibn Batoutah, Mansoura Qism 2, El Mansoura, Dakahlia Governorate 7660213, Egypt",Dakahlia Governorate,Egypt,,+20 10 61201601,4.2 (92 reviews),Yes,"https://www.google.com/maps/place/29VV+53X,+Ibn+Batoutah,+Mansoura+Qism+2,+El+Mansoura,+Dakahlia+Governorate+7660213,+Egypt",TRUE
ÃÊ·œ ÃÊÏ ÂÊ·Ìœ«Ï «ÌÃÌ» ,Gold Joy Holiday Egypt,"4 El-Galaa St, Downtown, Bulaq, Cairo Governorate 11556, Egypt",Cairo Governorate,Egypt,,+20 11 49000084,4.8 (575 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Gold%20Joy%20Holiday%20Egypt%2C%204%20El-Galaa%20St%2C%20Downtown%2C%20Bulaq%2C%20Cairo%20Governorate%2011556%2C%20Egypt,TRUE
ÃÊ·œ‰  Ê—“,Golden Tours,"ÕÌ «·⁄ÃÊ“…, 184 Gamal Abd El-Nasser Rd, Al Huwaiteyah, Agouza, Giza Governorate 3753703, Egypt",Giza Governorate,Egypt,,,4.5 (50 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Golden%20Tours%2C%20%D8%AD%D9%8A%20%D8%A7%D9%84%D8%B9%D8%AC%D9%88%D8%B2%D8%A9%2C%20184%20Gamal%20Abd%20El-Nasser%20Rd%2C%20Al%20Huwaiteyah%2C%20Agouza%2C%20Giza%20Governorate%203753703%2C%20Egypt,TRUE
«ÌÃÌ»  ›Ê—ÌÊ  —«›Ì·,Egypt Foreio Travel,"14 Gawad Housny, Al Fawalah, Abdeen, Cairo Governorate 4280143, Egypt",Cairo Governorate,Egypt,,+20 10 06720004,5 (1 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Egypt%20Foreio%20Travel%2C%2014%20Gawad%20Housny%2C%20Al%20Fawalah%2C%20Abdeen%2C%20Cairo%20Governorate%204280143%2C%20Egypt,TRUE
Œ«‰ «·Œ·Ì·Ì,"Khan al, Khalili","El-Gamaleya, El Gamaliya, Cairo Governorate 4331302, Egypt",Cairo Governorate,Egypt,,,4.4 (70777 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Khan%20al%2C%20Khalili%2C%20El-Gamaleya%2C%20El%20Gamaliya%2C%20Cairo%20Governorate%204331302%2C%20Egypt,TRUE
 —Ï ÃÊ·Ï ··”Ì«ÕÂ,Tra Jolie Tourism,"9 Ismail Al Kabbani, Al Manteqah Al Oula, Nasr City, Cairo Governorate 11371, Egypt",Cairo Governorate,Egypt,,+20 10 96666000,4.2 (181 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Tra%20Jolie%20Tourism%2C%209%20Ismail%20Al%20Kabbani%2C%20Al%20Manteqah%20Al%20Oula%2C%20Nasr%20City%2C%20Cairo%20Governorate%2011371%2C%20Egypt,TRUE
«·ÃÊ«Â— ··”Ì«Õ…,Al Jawaher Tourism,"ÿ—Ìﬁ «·„œÌ‰…° «·„Õ„œÌ… »·«“«° «·œÊ— «·Œ«„” „ﬂ », ÕÌ, 41 7382, «·—ÊÌ”° Ãœ… 23215, Saudi Arabia",Ãœ…,Saudi Arabia,,,4.5 (56 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Al%20Jawaher%20Tourism%2C%20%D8%B7%D8%B1%D9%8A%D9%82%20%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D9%86%D8%A9%2C%20%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%AF%D9%8A%D8%A9%20%D8%A8%D9%84%D8%A7%D8%B2%D8%A7%2C%20%D8%A7%D9%84%D8%AF%D9%88%D8%B1%20%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3%20%D9%85%D9%83%D8%AA%D8%A8%2C%20%D8%AD%D9%8A%2C%2041%207382%2C%20%D8%A7%D9%84%D8%B1%D9%88%D9%8A%D8%B3%2C%20%D8%AC%D8%AF%D8%A9%2023215%2C%20Saudi%20Arabia,TRUE
”‰«»· «·„⁄ “ ··”Ì«Õ…,Sanabel Al Moataz Tourism,"?? ‘«—⁄ «·›·ﬂÏ° „ ›—⁄ „‰ ‘«—⁄ ÂœÏ ‘⁄—«ÊÏ° »ÃÊ«— Êﬂ«·… √‰»«¡ «·‘—ﬁ «·«Ê”ÿ° Bab Al Louq, Abdeen, Cairo Governorate 4280124, Egypt",Cairo Governorate,Egypt,,+20 12 22174363,2.8 (8 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Sanabel%20Al%20Moataz%20Tourism%2C%20%D9%A4%D9%A6%20%D8%B4%D8%A7%D8%B1%D8%B9%20%D8%A7%D9%84%D9%81%D9%84%D9%83%D9%89%2C%20%D9%85%D8%AA%D9%81%D8%B1%D8%B9%20%D9%85%D9%86%20%D8%B4%D8%A7%D8%B1%D8%B9%20%D9%87%D8%AF%D9%89%20%D8%B4%D8%B9%D8%B1%D8%A7%D9%88%D9%89%2C%20%D8%A8%D8%AC%D9%88%D8%A7%D8%B1%20%D9%88%D9%83%D8%A7%D9%84%D8%A9%20%D8%A3%D9%86%D8%A8%D8%A7%D8%A1%20%D8%A7%D9%84%D8%B4%D8%B1%D9%82%20%D8%A7%D9%84%D8%A7%D9%88%D8%B3%D8%B7%2C%20Bab%20Al%20Louq%2C%20Abdeen%2C%20Cairo%20Governorate%204280124%2C%20Egypt,TRUE
 „Ê‘‰  ”›—,TEMOUCHENT TOURS,"AÔn TÈmouchent, Algeria",AÔn TÈmouchent,Algeria,,,,Yes,https://www.google.com/maps/search/?api=1&query=TEMOUCHENT%20TOURS%2C%20A%C3%AFn%20T%C3%A9mouchent%2C%20Algeria,TRUE
“‰Ì  √”›«—,ZENITH VOYAGE,"VX85+XJP, Unnamed Road, Mezraya, Tunisia",Mezraya,Tunisia,,+216 24 551 047,5 (2 reviews),Yes,"https://www.google.com/maps/place/VX85+XJP,+Unnamed+Road,+Mezraya,+Tunisia",TRUE
‰Ê»«  —«›·,nouba travel,"Boulevard Zighoud Youcef° 09 Bd Zighout Youcet, Constantine 25000, Algeria",Constantine,Algeria,,+213 555 03 99 36,3.2 (60 reviews),Yes,https://www.google.com/maps/search/?api=1&query=nouba%20travel%2C%20Boulevard%20Zighoud%20Youcef%2C%2009%20Bd%20Zighout%20Youcet%2C%20Constantine%2025000%2C%20Algeria,TRUE
«·œÌ—Ì,ALDairi,"69 10 150 country mall, √»Ê ’Ì»⁄° Bahrain",√»Ê ’Ì»⁄,Bahrain,,+973 1747 8222,4 (189 reviews),Yes,https://www.google.com/maps/search/?api=1&query=ALDairi%2C%2069%2010%20150%20country%20mall%2C%20%D8%A3%D8%A8%D9%88%20%D8%B5%D9%8A%D8%A8%D8%B9%2C%20Bahrain,TRUE
ÃÌ « Ì« ﬂ«—,GIE YAAKAR,"8683 «·œ€ÌÀ—Ì…° Aljazirah, QBUA2858° Buraydah 52581, Saudi Arabia",Buraydah,Saudi Arabia,,+966 58 009 5659,4.6 (176 reviews),Yes,https://www.google.com/maps/search/?api=1&query=GIE%20YAAKAR%2C%208683%20%D8%A7%D9%84%D8%AF%D8%BA%D9%8A%D8%AB%D8%B1%D9%8A%D8%A9%2C%20Aljazirah%2C%20QBUA2858%2C%20Buraydah%2052581%2C%20Saudi%20Arabia,TRUE
Ê“«—… «·≈ ’«·«  Ê ‰ﬁ«»… «·’Õ›ÌÌ‰,Ministry of Communications and Journalists Syndicate,"CairoSky, ‘«—⁄ ‘„»·ÌÊ‰° „⁄—Ê›° ﬁ”„ ﬁ’— «·‰Ì·° „Õ«›Ÿ… «·ﬁ«Â—…°° „⁄—Ê›° ﬁ”„ ﬁ’— «·‰Ì·° „Õ«›Ÿ… «·ﬁ«Â—…°° Marouf, Qasr El Nil, Cairo Governorate 4272150, Egypt",„Õ«›Ÿ… «·ﬁ«Â—…,Egypt,,+20 2 25741555,4.6 (498 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Ministry%20of%20Communications%20and%20Journalists%20Syndicate%2C%20CairoSky%2C%20%D8%B4%D8%A7%D8%B1%D8%B9%20%D8%B4%D9%85%D8%A8%D9%84%D9%8A%D9%88%D9%86%2C%20%D9%85%D8%B9%D8%B1%D9%88%D9%81%2C%20%D9%82%D8%B3%D9%85%20%D9%82%D8%B5%D8%B1%20%D8%A7%D9%84%D9%86%D9%8A%D9%84%2C%20%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9%20%D8%A7%D9%84%D9%82%D8%A7%D9%87%D8%B1%D8%A9%2C%2C%20%D9%85%D8%B9%D8%B1%D9%88%D9%81%2C%20%D9%82%D8%B3%D9%85%20%D9%82%D8%B5%D8%B1%20%D8%A7%D9%84%D9%86%D9%8A%D9%84%2C%20%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9%20%D8%A7%D9%84%D9%82%D8%A7%D9%87%D8%B1%D8%A9%2C%2C%20Marouf%2C%20Qasr%20El%20Nil%2C%20Cairo%20Governorate%204272150%2C%20Egypt,TRUE
«”Ê”Ì«”ÌÊ‰ ¬‰œ œÌ„ „ﬂ…,Association And Dem Makkah,"„—ﬂ“ √»—«Ã «·»Ì  «· Ã«—Ì „ﬁ«»· „œŒ· ›‰œﬁ «·›Ì—„Ê‰ ° «·ÂÃ·…, Êﬁ› «·„·ﬂ ⁄»œ«·⁄“Ì“° Al Haram, Makkah 24231, Saudi Arabia",Makkah,Saudi Arabia,,+966 50 039 9888,4.6 (163 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Association%20And%20Dem%20Makkah%2C%20%D9%85%D8%B1%D9%83%D8%B2%20%D8%A3%D8%A8%D8%B1%D8%A7%D8%AC%20%D8%A7%D9%84%D8%A8%D9%8A%D8%AA%20%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A%20%D9%85%D9%82%D8%A7%D8%A8%D9%84%20%D9%85%D8%AF%D8%AE%D9%84%20%D9%81%D9%86%D8%AF%D9%82%20%D8%A7%D9%84%D9%81%D9%8A%D8%B1%D9%85%D9%88%D9%86%D8%AA%2C%20%D8%A7%D9%84%D9%87%D8%AC%D9%84%D8%A9%2C%20%D9%88%D9%82%D9%81%20%D8%A7%D9%84%D9%85%D9%84%D9%83%20%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D8%B9%D8%B2%D9%8A%D8%B2%2C%20Al%20Haram%2C%20Makkah%2024231%2C%20Saudi%20Arabia,TRUE
 ”·Ì„ ··”Ì«Õ…,TESLIMIYET TURIZM,"Breidenbachstra?e 24, 51373 Leverkusen, Germany",Leverkusen,Germany,,+49 1573 7772789,4.9 (150 reviews),Yes,https://www.google.com/maps/search/?api=1&query=TESLIMIYET%20TURIZM%2C%20Breidenbachstra%C3%9Fe%2024%2C%2051373%20Leverkusen%2C%20Germany,TRUE
’›« „—Ê…  Ê—”,SAFA  MARWA TOURS,"4280 »«» «·⁄„—… Harat Al Bab and Ash Shamiyyah „ﬂ… 24231° 7499, Al Haram, Makkah 7499, Saudi Arabia",Makkah,Saudi Arabia,,,4.9 (32610 reviews),Yes,https://www.google.com/maps/search/?api=1&query=SAFA%20%20MARWA%20TOURS%2C%204280%20%D8%A8%D8%A7%D8%A8%20%D8%A7%D9%84%D8%B9%D9%85%D8%B1%D8%A9%20Harat%20Al%20Bab%20and%20Ash%20Shamiyyah%20%D9%85%D9%83%D8%A9%2024231%2C%207499%2C%20Al%20Haram%2C%20Makkah%207499%2C%20Saudi%20Arabia,TRUE
Ã«ÂÌ« »Ì·ÌÂ«‰,PT. CAHAYA PILIHAN,"Jl. Kebon Jeruk Raya No.7, Komplek Ruko Permata, Blok A1, RT.3/RW.9, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530, Indonesia",Indonesia,Indonesia,,+62 21 5307658,4.8 (38 reviews),Yes,https://www.google.com/maps/search/?api=1&query=PT.%20CAHAYA%20PILIHAN%2C%20Jl.%20Kebon%20Jeruk%20Raya%20No.7%2C%20Komplek%20Ruko%20Permata%2C%20Blok%20A1%2C%20RT.3/RW.9%2C%20Kb.%20Jeruk%2C%20Kec.%20Kb.%20Jeruk%2C%20Kota%20Jakarta%20Barat%2C%20Daerah%20Khusus%20Ibukota%20Jakarta%2011530%2C%20Indonesia,TRUE
«·»·«œ ÌÊ›—”«·,PT ALBILAD UNIVERSAL,"Ekkersrijt 2012, 5692 BA Son, Netherlands",Son,Netherlands,,+31 499 474 622,4.4 (15 reviews),Yes,https://www.google.com/maps/search/?api=1&query=PT%20ALBILAD%20UNIVERSAL%2C%20Ekkersrijt%202012%2C%205692%20BA%20Son%2C%20Netherlands,TRUE
„—Õ»« ÕÃ √‰œ ⁄„—… ”—Ê”,MARHABA HAJJ & UMRA SRVICE,"1523 Firethorn St, Bolingbrook, IL 60490, USA",Bolingbrook,United States,,,4.8 (47 reviews),Yes,https://www.google.com/maps/search/?api=1&query=MARHABA%20HAJJ%20%26%20UMRA%20SRVICE%2C%201523%20Firethorn%20St%2C%20Bolingbrook%2C%20IL%2060490%2C%20USA,TRUE
’ÂÌ» «·—Ê„Ì,"Suhaib Al , Roumi","37H5+9RR, Al Izab, El Sharabia, Cairo Governorate 4360324, Egypt",Cairo Governorate,Egypt,,+20 2 22360599,4.7 (254 reviews),Yes,"https://www.google.com/maps/place/37H5+9RR,+Al+Izab,+El+Sharabia,+Cairo+Governorate+4360324,+Egypt",TRUE
„Ÿ«›— ÕÃ ⁄„—…  —«Ê· ”—›Ì”“ «·Œ«’… «·„ÕœÊœ…,Muzafir Hajj Umrah Services Pvt Ltd,"„ﬂ » —ﬁ„1 „Ê· «·⁄œÊÏ »ÃÊ«— „«ﬂ ··”Ã«œ° „ ›—⁄ „‰ ‘«—⁄ «·œ—Ê”° Fakous, Faqous, Al-Sharqia Governorate 7321113, Egypt",Al-Sharqia Governorate,Egypt,,+20 12 27179999,5 (5 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Muzafir%20Hajj%20Umrah%20Services%20Pvt%20Ltd%2C%20%D9%85%D9%83%D8%AA%D8%A8%20%D8%B1%D9%82%D9%851%20%D9%85%D9%88%D9%84%20%D8%A7%D9%84%D8%B9%D8%AF%D9%88%D9%89%20%D8%A8%D8%AC%D9%88%D8%A7%D8%B1%20%D9%85%D8%A7%D9%83%20%D9%84%D9%84%D8%B3%D8%AC%D8%A7%D8%AF%2C%20%D9%85%D8%AA%D9%81%D8%B1%D8%B9%20%D9%85%D9%86%20%D8%B4%D8%A7%D8%B1%D8%B9%20%D8%A7%D9%84%D8%AF%D8%B1%D9%88%D8%B3%2C%20Fakous%2C%20Faqous%2C%20Al-Sharqia%20Governorate%207321113%2C%20Egypt,TRUE
”·Ê—·‰ﬂ «‰ —‰«‘ÌÊ‰«·,SILVERLINK INTERNATIONAL,"Capronilaan 37, 1119 NG Schiphol-Rijk, Netherlands",Schiphol-Rijk,Netherlands,,+31 88 887 8200,4.5 (29 reviews),Yes,https://www.google.com/maps/search/?api=1&query=SILVERLINK%20INTERNATIONAL%2C%20Capronilaan%2037%2C%201119%20NG%20Schiphol-Rijk%2C%20Netherlands,TRUE
—‰  Ê—Ì“„ »·Ê ”ﬂ«Ì,RUN TOURISME BLUESKY,"44 Shehab, st° Agouza, Giza Governorate 3752315, Egypt",Giza Governorate,Egypt,,+20 2 33019200,4.1 (119 reviews),Yes,https://www.google.com/maps/search/?api=1&query=RUN%20TOURISME%20BLUESKY%2C%2044%20Shehab%2C%20st%2C%20Agouza%2C%20Giza%20Governorate%203752315%2C%20Egypt,TRUE
«Œ  « Ê‰ ··”Ì«Õ…,akhet aton,"2 Haeet Al Tadres, Ad Doqi, Dokki, Giza Governorate 3751222, Egypt",Giza Governorate,Egypt,,+20 2 37486907,4.3 (14 reviews),Yes,https://www.google.com/maps/search/?api=1&query=akhet%20aton%2C%202%20Haeet%20Al%20Tadres%2C%20Ad%20Doqi%2C%20Dokki%2C%20Giza%20Governorate%203751222%2C%20Egypt,TRUE
«”›«— ﬂ—Ì„ ’Ê·Ì—,CREME SOLAIRE VOYAGES,"17 RUE DES ECOLES, Inezgane 86350, Morocco",Inezgane,Morocco,,+212 5288-33232,3 (2 reviews),Yes,https://www.google.com/maps/search/?api=1&query=CREME%20SOLAIRE%20VOYAGES%2C%2017%20RUE%20DES%20ECOLES%2C%20Inezgane%2086350%2C%20Morocco,TRUE
’Ê· «Ì— ÿ—«›·,SOLAIR   TRAVEL,"Fonteinlaan 5, 2012 JG Haarlem, Netherlands",Haarlem,Netherlands,,+31 6 26341000,3.1 (31 reviews),Yes,https://www.google.com/maps/search/?api=1&query=SOLAIR%20%20%20TRAVEL%2C%20Fonteinlaan%205%2C%202012%20JG%20Haarlem%2C%20Netherlands,TRUE
‘—ﬂ… «·‰Ê— ··ÿÌ—«‰ ··Œœ„« ,AN-NOOR AIR SERVICES,"Sufyan Street, Nablus",Nablus,Nablus,,+970 594 799 920,3.5 (2 reviews),Yes,https://www.google.com/maps/search/?api=1&query=AN-NOOR%20AIR%20SERVICES%2C%20Sufyan%20Street%2C%20Nablus,TRUE
» Ê«Œ«·Ï  —«›·” «‰œ  Ê—”,Patuakhali Travels & Tours,"Waterloostraat 117B, 3062 TJ Rotterdam, Netherlands",Rotterdam,Netherlands,,,5 (3 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Patuakhali%20Travels%20%26%20Tours%2C%20Waterloostraat%20117B%2C%203062%20TJ%20Rotterdam%2C%20Netherlands,TRUE
«·⁄„«‰Ì… ··ÕÃ Ê«·⁄„—…,Alomania for Hajj &Umra,"M4GM+VM4, Seeb, Oman",Seeb,Oman,,+968 9270 2704,4.8 (25 reviews),Yes,"https://www.google.com/maps/place/M4GM+VM4,+Seeb,+Oman",TRUE
≈ﬁ—«¡ÕÃ ”Ì·,IQRAH HAJ CELL,"Iqra Tower, Teli pura Chowk, Mominpura, Akola, Maharashtra 444006, India",Akola,India,,+91 98230 40038,3.9 (38 reviews),Yes,https://www.google.com/maps/search/?api=1&query=IQRAH%20HAJ%20CELL%2C%20Iqra%20Tower%2C%20Teli%20pura%20Chowk%2C%20Mominpura%2C%20Akola%2C%20Maharashtra%20444006%2C%20India,TRUE
«·Ã‰Ê”«‰Ì,Al-Janusani,"‘«—⁄ «·‰ŒÌ· ÿ—Ìﬁ 60 Ã‰Ê”«‰° Jannusan 677, Bahrain",Jannusan,Bahrain,,+973 3662 4342,3.7 (3 reviews),Yes,https://www.google.com/maps/search/?api=1&query=Al-Janusani%2C%20%D8%B4%D8%A7%D8%B1%D8%B9%20%D8%A7%D9%84%D9%86%D8%AE%D9%8A%D9%84%20%D8%B7%D8%B1%D9%8A%D9%82%2060%20%D8%AC%D9%86%D9%88%D8%B3%D8%A7%D9%86%2C%20Jannusan%20677%2C%20Bahrain,TRUE
Â·« ··Œœ„«  «·”Ì«ÕÌ…,hala for touristic services,"58 ‘ „⁄“ «·œÊ·…° „ﬂ—„ ⁄»Ìœ° Al Mintaqah as S?disah, Nasr City, Cairo Governorate 11311, Egypt",Cairo Governorate,Egypt,,+20 10 20004336,3.3 (107 reviews),Yes,https://www.google.com/maps/search/?api=1&query=hala%20for%20touristic%20services%2C%2058%20%D8%B4%20%D9%85%D8%B9%D8%B2%20%D8%A7%D9%84%D8%AF%D9%88%D9%84%D8%A9%2C%20%D9%85%D9%83%D8%B1%D9%85%20%D8%B9%D8%A8%D9%8A%D8%AF%2C%20Al%20Mintaqah%20as%20S%C4%81disah%2C%20Nasr%20City%2C%20Cairo%20Governorate%2011311%2C%20Egypt,TRUE
«Ì—  —«›Ì· „«—ﬂ ,air travel market,"Unit 46, 26-28 Queensway, Ponders End, Enfield EN3 4SA, UK",UK,United Kingdom,,+44 7990 300099,5 (5 reviews),Yes,https://www.google.com/maps/search/?api=1&query=air%20travel%20market%2C%20Unit%2046%2C%2026-28%20Queensway%2C%20Ponders%20End%2C%20Enfield%20EN3%204SA%2C%20UK,TRUE
‘„«· «·‘—ﬁÌÂ ··ÕÃ Ê«·⁄„—…,North al sharqya for pligrim and omra transport,"’Ê— _ «·‘—ÌÂ / „ﬁ«»· »—Ìœ ⁄„«‰ _Œ·› „ÿ⁄„ ’Ê— «·ÕœÌœ° Sur, Oman",Sur,Oman,,+968 9771 7895,5 (5 reviews),Yes,https://www.google.com/maps/search/?api=1&query=North%20al%20sharqya%20for%20pligrim%20and%20omra%20transport%2C%20%D8%B5%D9%88%D8%B1%20_%20%D8%A7%D9%84%D8%B4%D8%B1%D9%8A%D9%87%20/%20%D9%85%D9%82%D8%A7%D8%A8%D9%84%20%D8%A8%D8%B1%D9%8A%D8%AF%20%D8%B9%D9%85%D8%A7%D9%86%20_%D8%AE%D9%84%D9%81%20%D9%85%D8%B7%D8%B9%D9%85%20%D8%B5%D9%88%D8%B1%20%D8%A7%D9%84%D8%AD%D8%AF%D9%8A%D8%AF%2C%20Sur%2C%20Oman,TRUE
‘—ﬂ… »—ﬂ«  «·„‘«⁄— ··ÕÃ Ê«·⁄„—…,Barkat al mashaar for plegrim and umra transport,"68R9+2WF, Baghdad, Baghdad Governorate, Iraq",Baghdad,Iraq,,+964 780 053 1933,5 (1 reviews),Yes,"https://www.google.com/maps/place/68R9+2WF,+Baghdad,+Baghdad+Governorate,+Iraq",TRUE
» Ê· «·«”·«„ ··”Ì«Õ…,BATOOL ELISLAM TOURS,"192 El-Zomor Canal, Al Omraneyah Al Gharbeyah, El Omraniya, Giza Governorate 3544303, Egypt",Giza Governorate,Egypt,,,,Yes,https://www.google.com/maps/search/?api=1&query=BATOOL%20ELISLAM%20TOURS%2C%20192%20El-Zomor%20Canal%2C%20Al%20Omraneyah%20Al%20Gharbeyah%2C%20El%20Omraniya%2C%20Giza%20Governorate%203544303%2C%20Egypt,TRUE
«Õ„” ··”Ì«ÕÂ,AHMOUS TOURS,"484F+J92, AZ Zaytoun Al Bahreyah, AZ Zaytoun, Cairo Governorate 4521477, Egypt",Cairo Governorate,Egypt,,,4.3 (12 reviews),Yes,"https://www.google.com/maps/place/484F+J92,+AZ+Zaytoun+Al+Bahreyah,+AZ+Zaytoun,+Cairo+Governorate+4521477,+Egypt",TRUE
«”ÌÊÿ ··”Ì«ÕÂ,ASSUIT TOURS,"55HP+JH6° „Ìœ«‰ «·»‰Êﬂ° Al Hamraa Ath Thaneyah, ÕÌ €—»° Assiut Governorate 2073013, Egypt",Assiut Governorate,Egypt,,+20 10 00004570,3.2 (28 reviews),Yes,"https://www.google.com/maps/place/55HP+JH6,+„Ìœ«‰+«·»‰Êﬂ,+Al+Hamraa+Ath+Thaneyah,+ÕÌ+€—»,+Assiut+Governorate+2073013,+Egypt",TRUE
«‰ — »ÊÌ‰  ··”Ì«ÕÂ,INTERPOINT TOURS &TRAVEL,"139 Al Haram, Al Kom Al Akhdar, El Talbia, Giza Governorate 12511, Egypt",Giza Governorate,Egypt,,+20 10 24442750,4.9 (15 reviews),Yes,https://www.google.com/maps/search/?api=1&query=INTERPOINT%20TOURS%20%26TRAVEL%2C%20139%20Al%20Haram%2C%20Al%20Kom%20Al%20Akhdar%2C%20El%20Talbia%2C%20Giza%20Governorate%2012511%2C%20Egypt,TRUE
«»Ê ”„»· ··”Ì«Õ…,ABU SIMBEL TRAVEL,"1 Aaesha El taymoureya St.° Qasr El Nil, Cairo Governorate 4272011, Egypt",Cairo Governorate,Egypt,,+20 2 33874066,4.4 (19 reviews),Yes,https://www.google.com/maps/search/?api=1&query=ABU%20SIMBEL%20TRAVEL%2C%201%20Aaesha%20El%20taymoureya%20St.%2C%20Qasr%20El%20Nil%2C%20Cairo%20Governorate%204272011%2C%20Egypt,TRUE
ﬂ—Ì„ ··”Ì«Õ…,kareem tours,"Aswan gharb° sohail village° Sheyakhah Thalethah, Aswan 1, Aswan Governorate 81526, Egypt",Aswan Governorate,Egypt,,+20 11 19139494,5 (172 reviews),Yes,https://www.google.com/maps/search/?api=1&query=kareem%20tours%2C%20Aswan%20gharb%2C%20sohail%20village%2C%20Sheyakhah%20Thalethah%2C%20Aswan%201%2C%20Aswan%20Governorate%2081526%2C%20Egypt,TRUE
„’— «·ÕœÌÀÂ,MISR EL- HADESA TRAVEL,"39 ‘«—⁄ «·œﬂ Ê— „Ì‘Ì· »«ŒÊ„° «„«„ „ —Ê „«—ﬂ ° „ ›—⁄ „‰ Nadi Al Saeed, Ad Doqi, Dokki, Giza Governorate 12611, Egypt",Giza Governorate,Egypt,,+20 10 05511274,4.3 (135 reviews),Yes,https://www.google.com/maps/search/?api=1&query=MISR%20EL-%20HADESA%20TRAVEL%2C%2039%20%D8%B4%D8%A7%D8%B1%D8%B9%20%D8%A7%D9%84%D8%AF%D9%83%D8%AA%D9%88%D8%B1%20%D9%85%D9%8A%D8%B4%D9%8A%D9%84%20%D8%A8%D8%A7%D8%AE%D9%88%D9%85%2C%20%D8%A7%D9%85%D8%A7%D9%85%20%D9%85%D8%AA%D8%B1%D9%88%20%D9%85%D8%A7%D8%B1%D9%83%D8%AA%2C%20%D9%85%D8%AA%D9%81%D8%B1%D8%B9%20%D9%85%D9%86%20Nadi%20Al%20Saeed%2C%20Ad%20Doqi%2C%20Dokki%2C%20Giza%20Governorate%2012611%2C%20Egypt,TRUE
“œ  Ê—“,zed tours,"gaj street°°° Q94X+MWG°  Â—«‰° «” «‰  Â—«‰° Iran", Â—«‰,Iran,,+98 21 6657 4365,5 (3 reviews),Yes,"https://www.google.com/maps/place/gaj+street,,,+Q94X+MWG,+ Â—«‰,+«” «‰+ Â—«‰,+Iran",TRUE
«€« ··”Ì«Õ…,agha tours,"9 „Ê«ﬁ› ⁄„«—«  «·⁄»Ê—° Al Matar, Heliopolis, Cairo Governorate 4460020, Egypt",Cairo Governorate,Egypt,,,3 (4 reviews),Yes,https://www.google.com/maps/search/?api=1&query=agha%20tours%2C%209%20%D9%85%D9%88%D8%A7%D9%82%D9%81%20%D8%B9%D9%85%D8%A7%D8%B1%D8%A7%D8%AA%20%D8%A7%D9%84%D8%B9%D8%A8%D9%88%D8%B1%2C%20Al%20Matar%2C%20Heliopolis%2C%20Cairo%20Governorate%204460020%2C%20Egypt,TRUE
—ÌÃÌ‰«  —«›Ì· «Ê› «ÌÃÌ» ,regina travel of egypt,"‘ﬁÂ 1° «·œÊ— «·«—÷Ì° Al Manyal Al Gharbi, Old Cairo, Cairo Governorate 4240240, Egypt",Cairo Governorate,Egypt,,+20 10 95611878,5 (3 reviews),Yes,https://www.google.com/maps/search/?api=1&query=regina%20travel%20of%20egypt%2C%20%D8%B4%D9%82%D9%87%201%2C%20%D8%A7%D9%84%D8%AF%D9%88%D8%B1%20%D8%A7%D9%84%D8%A7%D8%B1%D8%B6%D9%8A%2C%20Al%20Manyal%20Al%20Gharbi%2C%20Old%20Cairo%2C%20Cairo%20Governorate%204240240%2C%20Egypt,TRUE
